layer,task_a,task_b,subspace_overlap,centroid_cosine,explained_var_a,explained_var_b
0,gsm8k,strategyqa,0.052288375999311465,0.975072960245146,0.99999999999858,0.9999999999993995
0,gsm8k,mmlu,0.15010903615401266,0.9919898941349469,0.99999999999858,0.999999999999463
0,strategyqa,mmlu,0.06646657104039205,0.9856161350035734,0.9999999999993995,0.999999999999463
1,gsm8k,strategyqa,0.058391132896933894,0.955275468455858,0.9999999999994602,0.9999999999997785
1,gsm8k,mmlu,0.164569525642341,0.9884363617474214,0.9999999999994602,0.9999999999997808
1,strategyqa,mmlu,0.07633408867829687,0.974761274917201,0.9999999999997785,0.9999999999997808
2,gsm8k,strategyqa,0.39777566972002504,0.9599620933445042,0.9999999999999737,0.9999999999999999
2,gsm8k,mmlu,0.49983263826334684,0.9863473496191087,0.9999999999999737,0.9999999999999988
2,strategyqa,mmlu,0.4747305660237859,0.9922889284289675,0.9999999999999999,0.9999999999999988
3,gsm8k,strategyqa,0.3463555837323164,0.9429947010933839,0.9999999999999756,0.9999999999999999
3,gsm8k,mmlu,0.41901574896500715,0.9804758651136898,0.9999999999999756,0.9999999999999989
3,strategyqa,mmlu,0.43047505759490623,0.9887468050037941,0.9999999999999999,0.9999999999999989
4,gsm8k,strategyqa,0.33517408354596223,0.9599434652574417,0.9999999999999901,1.0
4,gsm8k,mmlu,0.36343791636166245,0.9841640540093529,0.9999999999999901,0.9999999999999997
4,strategyqa,mmlu,0.39107796287600466,0.9935951351815486,1.0,0.9999999999999997
5,gsm8k,strategyqa,0.2937355595471485,0.9436406780640113,0.999999999999991,1.0
5,gsm8k,mmlu,0.3142358196693554,0.9781061214372425,0.999999999999991,0.9999999999999997
5,strategyqa,mmlu,0.345816642182211,0.9905442080264356,1.0,0.9999999999999997
6,gsm8k,strategyqa,0.260680931216427,0.9204847465795755,0.9999999999999925,1.0
6,gsm8k,mmlu,0.28145173984808625,0.9697315274790725,0.9999999999999925,0.9999999999999997
6,strategyqa,mmlu,0.3093422699317323,0.9857312785529428,1.0,0.9999999999999997
7,gsm8k,strategyqa,0.21889311160546543,0.8945853524664168,0.9999999999999942,1.0
7,gsm8k,mmlu,0.2512252783486543,0.9586298846686336,0.9999999999999942,0.9999999999999998
7,strategyqa,mmlu,0.2568041003559684,0.9814714468304054,1.0,0.9999999999999998
8,gsm8k,strategyqa,0.20517759284402107,0.8841255883973488,0.999999999999995,1.0
8,gsm8k,mmlu,0.23472011226303102,0.9556492013876563,0.999999999999995,0.9999999999999998
8,strategyqa,mmlu,0.2577333927382183,0.9780227704299798,1.0,0.9999999999999998
9,gsm8k,strategyqa,0.19794809797357799,0.8716255627153956,0.9999999999999959,1.0
9,gsm8k,mmlu,0.22453606233199613,0.9531636491212951,0.9999999999999959,0.9999999999999998
9,strategyqa,mmlu,0.2567129587603196,0.9731186458751819,1.0,0.9999999999999998
10,gsm8k,strategyqa,0.18668629834440756,0.8547572968213238,0.9999999999999962,1.0
10,gsm8k,mmlu,0.211347181417056,0.9491714739118456,0.9999999999999962,0.9999999999999998
10,strategyqa,mmlu,0.2558605136803556,0.9675147530864537,1.0,0.9999999999999998
11,gsm8k,strategyqa,0.1729115277002999,0.8460330656898799,0.9999999999999967,1.0
11,gsm8k,mmlu,0.19681229508729547,0.948448626830238,0.9999999999999967,0.9999999999999998
11,strategyqa,mmlu,0.2561707898219434,0.9628115780119567,1.0,0.9999999999999998
12,gsm8k,strategyqa,0.1606559331571269,0.8376741346440151,0.9999999999999972,1.0
12,gsm8k,mmlu,0.18537172468724306,0.9449133224973019,0.9999999999999972,0.9999999999999998
12,strategyqa,mmlu,0.2567397166446543,0.9600466247587112,1.0,0.9999999999999998
13,gsm8k,strategyqa,0.14978321222734828,0.820287135311962,0.9999999999999978,1.0
13,gsm8k,mmlu,0.1744253040734181,0.9434715566755539,0.9999999999999978,0.9999999999999998
13,strategyqa,mmlu,0.26565571757714856,0.9518886451515048,1.0,0.9999999999999998
14,gsm8k,strategyqa,0.13024212637652427,0.8100333859053775,0.9999999999999982,1.0
14,gsm8k,mmlu,0.15726877140220769,0.9438351373913441,0.9999999999999982,0.9999999999999998
14,strategyqa,mmlu,0.26028969539435237,0.9438704316756338,1.0,0.9999999999999998
15,gsm8k,strategyqa,0.11468333832185369,0.7954149859780935,0.9999999999999986,1.0
15,gsm8k,mmlu,0.13702909209444786,0.9365180848535857,0.9999999999999986,0.9999999999999999
15,strategyqa,mmlu,0.25128382651942416,0.9402317154128131,1.0,0.9999999999999999
16,gsm8k,strategyqa,0.1105662415862081,0.7851672752767777,0.9999999999999988,1.0
16,gsm8k,mmlu,0.13714403610836526,0.9323140673603588,0.9999999999999988,0.9999999999999999
16,strategyqa,mmlu,0.24611311318040952,0.9368566901787043,1.0,0.9999999999999999
17,gsm8k,strategyqa,0.08287476402937248,0.7581179650681492,0.9999999999999992,1.0
17,gsm8k,mmlu,0.112667745734071,0.9244936751754047,0.9999999999999992,0.9999999999999999
17,strategyqa,mmlu,0.2341278465143007,0.925487043493171,1.0,0.9999999999999999
18,gsm8k,strategyqa,0.06625539774383661,0.7419684404824797,0.9999999999999994,1.0
18,gsm8k,mmlu,0.09709453189113923,0.9241115259158957,0.9999999999999994,0.9999999999999998
18,strategyqa,mmlu,0.222497124086333,0.9120892348619883,1.0,0.9999999999999998
19,gsm8k,strategyqa,0.06575700306968511,0.7341429098072609,0.9999999999999996,1.0
19,gsm8k,mmlu,0.09816437582765206,0.9210849726612493,0.9999999999999996,0.9999999999999998
19,strategyqa,mmlu,0.21205491843437976,0.9070818485451497,1.0,0.9999999999999998
20,gsm8k,strategyqa,0.052798663975639905,0.7335618988571248,0.9999999999999997,1.0
20,gsm8k,mmlu,0.08498174084497534,0.9229713318047351,0.9999999999999997,0.9999999999999999
20,strategyqa,mmlu,0.19826758871409333,0.9014503856029414,1.0,0.9999999999999999
21,gsm8k,strategyqa,0.04502894497011837,0.7319979840053159,0.9999999999999998,1.0
21,gsm8k,mmlu,0.0854230365267769,0.918880839711451,0.9999999999999998,0.9999999999999999
21,strategyqa,mmlu,0.18546551250100982,0.8986465933946979,1.0,0.9999999999999999
22,gsm8k,strategyqa,0.036857849513111426,0.7378397799603816,0.9999999999999998,1.0
22,gsm8k,mmlu,0.07923495370207788,0.9210605447116541,0.9999999999999998,1.0
22,strategyqa,mmlu,0.16943019705367648,0.8945351882253365,1.0,1.0
23,gsm8k,strategyqa,0.030526640039830383,0.7534995130407472,0.9999999999999999,1.0
23,gsm8k,mmlu,0.0846303389854467,0.9241063180460201,0.9999999999999999,1.0
23,strategyqa,mmlu,0.15287742172218624,0.8960469538953983,1.0,1.0
24,gsm8k,strategyqa,0.025509181553028764,0.7694281321261284,0.9999999999999998,1.0
24,gsm8k,mmlu,0.0848564667710632,0.929331408196814,0.9999999999999998,1.0
24,strategyqa,mmlu,0.1328235820919246,0.8978701001436339,1.0,1.0
25,gsm8k,strategyqa,0.025960176590621928,0.7965433077099452,0.9999999999999999,1.0
25,gsm8k,mmlu,0.09631876109623898,0.9387954050322711,0.9999999999999999,1.0
25,strategyqa,mmlu,0.11640741557154685,0.9055530871763213,1.0,1.0
26,gsm8k,strategyqa,0.025347672806091792,0.8141607515221057,0.9999999999999999,1.0
26,gsm8k,mmlu,0.10323619696945609,0.9445310548508035,0.9999999999999999,1.0
26,strategyqa,mmlu,0.10086381869284344,0.9101476789500221,1.0,1.0
27,gsm8k,strategyqa,0.02327057408180838,0.8329304286011391,1.0,1.0
27,gsm8k,mmlu,0.1052636969638634,0.9514629519945371,1.0,1.0
27,strategyqa,mmlu,0.09516725410569479,0.9157720177576071,1.0,1.0
28,gsm8k,strategyqa,0.0226313308672171,0.8443091319394593,1.0,1.0
28,gsm8k,mmlu,0.1065865266127028,0.9566974384059058,1.0,1.0
28,strategyqa,mmlu,0.08537240301052942,0.9168940248246094,1.0,1.0
29,gsm8k,strategyqa,0.023110363736078433,0.9464703432849131,1.0,1.0
29,gsm8k,mmlu,0.09645383312343672,0.9687784064115417,1.0,1.0
29,strategyqa,mmlu,0.12021248061059385,0.9660423093092453,1.0,1.0
30,gsm8k,strategyqa,0.034266887967609336,0.9551981618865447,1.0,1.0
30,gsm8k,mmlu,0.11711783426228506,0.9746299062366715,1.0,1.0
30,strategyqa,mmlu,0.11816839763167314,0.970191568804081,1.0,1.0
31,gsm8k,strategyqa,0.06089565394106194,0.9770451879163333,0.9999999999999982,0.9999999999999981
31,gsm8k,mmlu,0.1323089766324859,0.9819915649440235,0.9999999999999982,0.9999999999999994
31,strategyqa,mmlu,0.09766574070535507,0.9835267362512518,0.9999999999999981,0.9999999999999994
