layer,task,n_samples,hidden_dim,pca_k,explained_variance,centroid_norm
0,gsm8k,5,3072,4,0.99999999999858,3.6427125669494447
0,strategyqa,5,3072,4,0.9999999999993995,3.7507401241279212
0,mmlu,9,3072,8,0.999999999999463,3.75085585012404
1,gsm8k,5,3072,4,0.9999999999994602,5.278529659125495
1,strategyqa,5,3072,4,0.9999999999997785,5.832376985792435
1,mmlu,9,3072,8,0.9999999999997808,5.277667924786774
2,gsm8k,5,3072,4,0.9999999999999737,20.478045356290412
2,strategyqa,5,3072,4,0.9999999999999999,135.00594725979866
2,mmlu,9,3072,8,0.9999999999999988,38.29963500528142
3,gsm8k,5,3072,4,0.9999999999999756,21.263747644986015
3,strategyqa,5,3072,4,0.9999999999999999,135.37392644797103
3,mmlu,9,3072,8,0.9999999999999989,38.86090840487302
4,gsm8k,5,3072,4,0.9999999999999901,32.53970387359619
4,strategyqa,5,3072,4,1.0,233.68382905992107
4,mmlu,9,3072,8,0.9999999999999997,65.28189795482649
5,gsm8k,5,3072,4,0.999999999999991,33.94437633703584
5,strategyqa,5,3072,4,1.0,234.81690587608247
5,mmlu,9,3072,8,0.9999999999999997,66.5413966160766
6,gsm8k,5,3072,4,0.9999999999999925,35.72296665039262
6,strategyqa,5,3072,4,1.0,236.13842566619707
6,mmlu,9,3072,8,0.9999999999999997,67.92621050782927
7,gsm8k,5,3072,4,0.9999999999999942,39.33263815568314
7,strategyqa,5,3072,4,1.0,257.5973675698906
7,mmlu,9,3072,8,0.9999999999999998,74.772014312031
8,gsm8k,5,3072,4,0.999999999999995,43.59903506938074
8,strategyqa,5,3072,4,1.0,261.3192041543079
8,mmlu,9,3072,8,0.9999999999999998,78.79559932919457
9,gsm8k,5,3072,4,0.9999999999999959,46.73272018199354
9,strategyqa,5,3072,4,1.0,263.9522419269815
9,mmlu,9,3072,8,0.9999999999999998,82.25402854576964
10,gsm8k,5,3072,4,0.9999999999999962,51.07563108428032
10,strategyqa,5,3072,4,1.0,267.03389170722716
10,mmlu,9,3072,8,0.9999999999999998,85.81896216764615
11,gsm8k,5,3072,4,0.9999999999999967,53.25304296163188
11,strategyqa,5,3072,4,1.0,268.03553430001546
11,mmlu,9,3072,8,0.9999999999999998,88.08586960756958
12,gsm8k,5,3072,4,0.9999999999999972,56.145304616988625
12,strategyqa,5,3072,4,1.0,271.1845131635344
12,mmlu,9,3072,8,0.9999999999999998,90.74997666516427
13,gsm8k,5,3072,4,0.9999999999999978,64.35988638683101
13,strategyqa,5,3072,4,1.0,279.19711089465267
13,mmlu,9,3072,8,0.9999999999999998,97.5422099342631
14,gsm8k,5,3072,4,0.9999999999999982,69.24163835976394
14,strategyqa,5,3072,4,1.0,283.2278740087742
14,mmlu,9,3072,8,0.9999999999999998,103.85278094782066
15,gsm8k,5,3072,4,0.9999999999999986,75.28296038049496
15,strategyqa,5,3072,4,1.0,286.0843501557088
15,mmlu,9,3072,8,0.9999999999999999,107.2344885609826
16,gsm8k,5,3072,4,0.9999999999999988,79.74477165387852
16,strategyqa,5,3072,4,1.0,289.9094950758724
16,mmlu,9,3072,8,0.9999999999999999,111.25640002038917
17,gsm8k,5,3072,4,0.9999999999999992,88.66551660351963
17,strategyqa,5,3072,4,1.0,293.6007040482954
17,mmlu,9,3072,8,0.9999999999999999,117.95101653290448
18,gsm8k,5,3072,4,0.9999999999999994,102.49334014146298
18,strategyqa,5,3072,4,1.0,300.5811577219056
18,mmlu,9,3072,8,0.9999999999999998,128.7336150833082
19,gsm8k,5,3072,4,0.9999999999999996,109.98148538864959
19,strategyqa,5,3072,4,1.0,305.9449786073924
19,mmlu,9,3072,8,0.9999999999999998,134.8466011470424
20,gsm8k,5,3072,4,0.9999999999999997,120.84395830516557
20,strategyqa,5,3072,4,1.0,313.23078879692866
20,mmlu,9,3072,8,0.9999999999999999,144.23221057823196
21,gsm8k,5,3072,4,0.9999999999999998,134.54168373627684
21,strategyqa,5,3072,4,1.0,322.48714656300876
21,mmlu,9,3072,8,0.9999999999999999,153.58617919248968
22,gsm8k,5,3072,4,0.9999999999999998,152.12617216025654
22,strategyqa,5,3072,4,1.0,332.521902998321
22,mmlu,9,3072,8,1.0,166.2330270472738
23,gsm8k,5,3072,4,0.9999999999999999,168.1519293121685
23,strategyqa,5,3072,4,1.0,346.7090013245506
23,mmlu,9,3072,8,1.0,179.9671473882925
24,gsm8k,5,3072,4,0.9999999999999998,196.1408303756553
24,strategyqa,5,3072,4,1.0,365.8039507886075
24,mmlu,9,3072,8,1.0,200.09375210480746
25,gsm8k,5,3072,4,0.9999999999999999,228.33617542347392
25,strategyqa,5,3072,4,1.0,395.5028939966377
25,mmlu,9,3072,8,1.0,226.8719089716431
26,gsm8k,5,3072,4,0.9999999999999999,254.2769537222142
26,strategyqa,5,3072,4,1.0,419.1940183120385
26,mmlu,9,3072,8,1.0,249.3751980382002
27,gsm8k,5,3072,4,1.0,291.1178531173053
27,strategyqa,5,3072,4,1.0,444.410035177548
27,mmlu,9,3072,8,1.0,276.0383843167285
28,gsm8k,5,3072,4,1.0,329.3383835225874
28,strategyqa,5,3072,4,1.0,472.21374177395984
28,mmlu,9,3072,8,1.0,313.2097090869799
29,gsm8k,5,3072,4,1.0,382.1595396006238
29,strategyqa,5,3072,4,1.0,430.4969904482849
29,mmlu,9,3072,8,1.0,352.1086980803962
30,gsm8k,5,3072,4,1.0,467.495027661813
30,strategyqa,5,3072,4,1.0,495.9835513914406
30,mmlu,9,3072,8,1.0,426.6329224235619
31,gsm8k,5,3072,4,0.9999999999999982,63.20367115276087
31,strategyqa,5,3072,4,0.9999999999999981,73.699352459831
31,mmlu,9,3072,8,0.9999999999999994,63.807197118586856
